(115, 115, 115, 255)
(109, 109, 109, 255)
(97, 97, 97, 255)
(114, 114, 114, 255)
(116, 116, 116, 255)
(32, 32, 32, 255)
(103, 103, 103, 255)
(117, 117, 117, 255)
(121, 121, 121, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(121, 121, 121, 255)
(111, 111, 111, 255)
(117, 117, 117, 255)
(32, 32, 32, 255)
(109, 109, 109, 255)
(97, 97, 97, 255)
(100, 100, 100, 255)
(101, 101, 101, 255)
(32, 32, 32, 255)
(105, 105, 105, 255)
(116, 116, 116, 255)
(46, 46, 46, 255)
(32, 32, 32, 255)
(116, 116, 116, 255)
(104, 104, 104, 255)
(101, 101, 101, 255)
(32, 32, 32, 255)
(110, 110, 110, 255)
(101, 101, 101, 255)
(120, 120, 120, 255)
(116, 116, 116, 255)
(32, 32, 32, 255)
(108, 108, 108, 255)
(101, 101, 101, 255)
(118, 118, 118, 255)
(101, 101, 101, 255)
(108, 108, 108, 255)
(32, 32, 32, 255)
(105, 105, 105, 255)
(115, 115, 115, 255)
(32, 32, 32, 255)
(91, 91, 91, 255)
(49, 49, 49, 255)
(48, 48, 48, 255)
(53, 53, 53, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(49, 49, 49, 255)
(48, 48, 48, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(49, 49, 49, 255)
(54, 54, 54, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(48, 48, 48, 255)
(49, 49, 49, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(48, 48, 48, 255)
(51, 51, 51, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(49, 49, 49, 255)
(52, 52, 52, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(48, 48, 48, 255)
(53, 53, 53, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(49, 49, 49, 255)
(54, 54, 54, 255)
(44, 44, 44, 255)
(32, 32, 32, 255)
(49, 49, 49, 255)
(50, 50, 50, 255)
(49, 49, 49, 255)
(93, 93, 93, 255)
